Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Pharmacology,Drug Interactions,2,Which of the following is true about Drug Interactions?,Option A about Drug Interactions,Option B about Drug Interactions,Option C about Drug Interactions,Correct statement about Drug Interactions,D,This is the correct explanation for the statement about Drug Interactions.,HARD,Harrison's Principles
Anatomy,Fetal Skull,1,Which of the following is true about Fetal Skull?,Option A about Fetal Skull,Option B about Fetal Skull,Option C about Fetal Skull,Correct statement about Fetal Skull,D,This is the correct explanation for the statement about Fetal Skull.,MEDIUM,Harrison's Principles
Biochemistry,Metabolic Pathways,2,Which of the following is true about Metabolic Pathways?,Option A about Metabolic Pathways,Option B about Metabolic Pathways,Option C about Metabolic Pathways,Correct statement about Metabolic Pathways,D,This is the correct explanation for the statement about Metabolic Pathways.,EASY,Robbins Pathology
Community Medicine,Disease Prevention,1,Which of the following is true about Disease Prevention?,Option A about Disease Prevention,Option B about Disease Prevention,Option C about Disease Prevention,Correct statement about Disease Prevention,D,This is the correct explanation for the statement about Disease Prevention.,MEDIUM,Dewhurst
Microbiology,Parasitic Infections,1,Which of the following is true about Parasitic Infections?,Option A about Parasitic Infections,Option B about Parasitic Infections,Option C about Parasitic Infections,Correct statement about Parasitic Infections,D,This is the correct explanation for the statement about Parasitic Infections.,MEDIUM,Dewhurst
Anatomy,Placenta,1,Which of the following is true about Placenta?,Option A about Placenta,Option B about Placenta,Option C about Placenta,Correct statement about Placenta,D,This is the correct explanation for the statement about Placenta.,MEDIUM,Dewhurst
Pathology,Autoimmune Diseases,2,Which of the following is true about Autoimmune Diseases?,Option A about Autoimmune Diseases,Option B about Autoimmune Diseases,Option C about Autoimmune Diseases,Correct statement about Autoimmune Diseases,D,This is the correct explanation for the statement about Autoimmune Diseases.,MEDIUM,Goodman & Gilman
Surgery,Postoperative Care,2,Which of the following is true about Postoperative Care?,Option A about Postoperative Care,Option B about Postoperative Care,Option C about Postoperative Care,Correct statement about Postoperative Care,D,This is the correct explanation for the statement about Postoperative Care.,HARD,Gray's Anatomy
Forensic Medicine,Injury Analysis,2,Which of the following is true about Injury Analysis?,Option A about Injury Analysis,Option B about Injury Analysis,Option C about Injury Analysis,Correct statement about Injury Analysis,D,This is the correct explanation for the statement about Injury Analysis.,HARD,Ten Teachers
Surgery,Surgical Infections,1,Which of the following is true about Surgical Infections?,Option A about Surgical Infections,Option B about Surgical Infections,Option C about Surgical Infections,Correct statement about Surgical Infections,D,This is the correct explanation for the statement about Surgical Infections.,HARD,Robbins Pathology
Microbiology,Fungal Infections,2,Which of the following is true about Fungal Infections?,Option A about Fungal Infections,Option B about Fungal Infections,Option C about Fungal Infections,Correct statement about Fungal Infections,D,This is the correct explanation for the statement about Fungal Infections.,MEDIUM,Robbins Pathology
Anatomy,Pelvic Anatomy,1,Which of the following is true about Pelvic Anatomy?,Option A about Pelvic Anatomy,Option B about Pelvic Anatomy,Option C about Pelvic Anatomy,Correct statement about Pelvic Anatomy,D,This is the correct explanation for the statement about Pelvic Anatomy.,MEDIUM,Robbins Pathology
Surgery,Surgical Techniques,1,Which of the following is true about Surgical Techniques?,Option A about Surgical Techniques,Option B about Surgical Techniques,Option C about Surgical Techniques,Correct statement about Surgical Techniques,D,This is the correct explanation for the statement about Surgical Techniques.,EASY,Ten Teachers
Community Medicine,Health Education,2,Which of the following is true about Health Education?,Option A about Health Education,Option B about Health Education,Option C about Health Education,Correct statement about Health Education,D,This is the correct explanation for the statement about Health Education.,MEDIUM,Dewhurst
Obstetrics,Pre-eclampsia,1,Which of the following is true about Pre-eclampsia?,Option A about Pre-eclampsia,Option B about Pre-eclampsia,Option C about Pre-eclampsia,Correct statement about Pre-eclampsia,D,This is the correct explanation for the statement about Pre-eclampsia.,HARD,Harrison's Principles
Biochemistry,Protein Synthesis,2,Which of the following is true about Protein Synthesis?,Option A about Protein Synthesis,Option B about Protein Synthesis,Option C about Protein Synthesis,Correct statement about Protein Synthesis,D,This is the correct explanation for the statement about Protein Synthesis.,HARD,Harrison's Principles
Obstetrics,Gestational Diabetes,1,Which of the following is true about Gestational Diabetes?,Option A about Gestational Diabetes,Option B about Gestational Diabetes,Option C about Gestational Diabetes,Correct statement about Gestational Diabetes,D,This is the correct explanation for the statement about Gestational Diabetes.,MEDIUM,Goodman & Gilman
Forensic Medicine,Forensic Pathology,1,Which of the following is true about Forensic Pathology?,Option A about Forensic Pathology,Option B about Forensic Pathology,Option C about Forensic Pathology,Correct statement about Forensic Pathology,D,This is the correct explanation for the statement about Forensic Pathology.,HARD,Dewhurst
Anatomy,Umbilical Cord,2,Which of the following is true about Umbilical Cord?,Option A about Umbilical Cord,Option B about Umbilical Cord,Option C about Umbilical Cord,Correct statement about Umbilical Cord,D,This is the correct explanation for the statement about Umbilical Cord.,EASY,Goodman & Gilman
Physiology,Renal Function,1,Which of the following is true about Renal Function?,Option A about Renal Function,Option B about Renal Function,Option C about Renal Function,Correct statement about Renal Function,D,This is the correct explanation for the statement about Renal Function.,HARD,Gray's Anatomy
Community Medicine,Public Health,1,Which of the following is true about Public Health?,Option A about Public Health,Option B about Public Health,Option C about Public Health,Correct statement about Public Health,D,This is the correct explanation for the statement about Public Health.,MEDIUM,Gray's Anatomy
Surgery,Anesthesia,2,Which of the following is true about Anesthesia?,Option A about Anesthesia,Option B about Anesthesia,Option C about Anesthesia,Correct statement about Anesthesia,D,This is the correct explanation for the statement about Anesthesia.,HARD,Robbins Pathology
Pharmacology,Analgesics,2,Which of the following is true about Analgesics?,Option A about Analgesics,Option B about Analgesics,Option C about Analgesics,Correct statement about Analgesics,D,This is the correct explanation for the statement about Analgesics.,MEDIUM,Robbins Pathology
Pharmacology,Anticoagulants,2,Which of the following is true about Anticoagulants?,Option A about Anticoagulants,Option B about Anticoagulants,Option C about Anticoagulants,Correct statement about Anticoagulants,D,This is the correct explanation for the statement about Anticoagulants.,EASY,Gray's Anatomy
Physiology,Cardiovascular System,2,Which of the following is true about Cardiovascular System?,Option A about Cardiovascular System,Option B about Cardiovascular System,Option C about Cardiovascular System,Correct statement about Cardiovascular System,D,This is the correct explanation for the statement about Cardiovascular System.,MEDIUM,Robbins Pathology
Physiology,Endocrine System,2,Which of the following is true about Endocrine System?,Option A about Endocrine System,Option B about Endocrine System,Option C about Endocrine System,Correct statement about Endocrine System,D,This is the correct explanation for the statement about Endocrine System.,MEDIUM,Harrison's Principles
Obstetrics,Labor Stages,2,Which of the following is true about Labor Stages?,Option A about Labor Stages,Option B about Labor Stages,Option C about Labor Stages,Correct statement about Labor Stages,D,This is the correct explanation for the statement about Labor Stages.,HARD,Gray's Anatomy
Physiology,Nervous System,1,Which of the following is true about Nervous System?,Option A about Nervous System,Option B about Nervous System,Option C about Nervous System,Correct statement about Nervous System,D,This is the correct explanation for the statement about Nervous System.,MEDIUM,Harrison's Principles
Pathology,Genetic Disorders,1,Which of the following is true about Genetic Disorders?,Option A about Genetic Disorders,Option B about Genetic Disorders,Option C about Genetic Disorders,Correct statement about Genetic Disorders,D,This is the correct explanation for the statement about Genetic Disorders.,HARD,Goodman & Gilman
Forensic Medicine,Postmortem Changes,1,Which of the following is true about Postmortem Changes?,Option A about Postmortem Changes,Option B about Postmortem Changes,Option C about Postmortem Changes,Correct statement about Postmortem Changes,D,This is the correct explanation for the statement about Postmortem Changes.,EASY,Dewhurst
Pharmacology,Antihypertensives,1,Which of the following is true about Antihypertensives?,Option A about Antihypertensives,Option B about Antihypertensives,Option C about Antihypertensives,Correct statement about Antihypertensives,D,This is the correct explanation for the statement about Antihypertensives.,MEDIUM,Harrison's Principles
Microbiology,Bacterial Infections,1,Which of the following is true about Bacterial Infections?,Option A about Bacterial Infections,Option B about Bacterial Infections,Option C about Bacterial Infections,Correct statement about Bacterial Infections,D,This is the correct explanation for the statement about Bacterial Infections.,EASY,Robbins Pathology
Forensic Medicine,Toxicology,1,Which of the following is true about Toxicology?,Option A about Toxicology,Option B about Toxicology,Option C about Toxicology,Correct statement about Toxicology,D,This is the correct explanation for the statement about Toxicology.,EASY,Robbins Pathology
Pathology,Infection,2,Which of the following is true about Infection?,Option A about Infection,Option B about Infection,Option C about Infection,Correct statement about Infection,D,This is the correct explanation for the statement about Infection.,HARD,Robbins Pathology
Surgery,Trauma Management,1,Which of the following is true about Trauma Management?,Option A about Trauma Management,Option B about Trauma Management,Option C about Trauma Management,Correct statement about Trauma Management,D,This is the correct explanation for the statement about Trauma Management.,MEDIUM,Robbins Pathology
Pathology,Neoplasia,2,Which of the following is true about Neoplasia?,Option A about Neoplasia,Option B about Neoplasia,Option C about Neoplasia,Correct statement about Neoplasia,D,This is the correct explanation for the statement about Neoplasia.,MEDIUM,Goodman & Gilman
Anatomy,Amniotic Fluid,2,Which of the following is true about Amniotic Fluid?,Option A about Amniotic Fluid,Option B about Amniotic Fluid,Option C about Amniotic Fluid,Correct statement about Amniotic Fluid,D,This is the correct explanation for the statement about Amniotic Fluid.,HARD,Dewhurst
Community Medicine,Environmental Health Hazards,2,What is a key characteristic of Environmental Health Hazards?,Characteristic A related to Environmental Health Hazards,Characteristic B related to Environmental Health Hazards,Characteristic C related to Environmental Health Hazards,Correct characteristic of Environmental Health Hazards,D,This is the correct explanation for the characteristic of Environmental Health Hazards.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Physiology,Renal Function and Filtration,2,What is a key characteristic of Renal Function and Filtration?,Characteristic A related to Renal Function and Filtration,Characteristic B related to Renal Function and Filtration,Characteristic C related to Renal Function and Filtration,Correct characteristic of Renal Function and Filtration,D,This is the correct explanation for the characteristic of Renal Function and Filtration.,EASY,Robbins Basic Pathology
Microbiology,Viral Replication Cycles,1,What is a key characteristic of Viral Replication Cycles?,Characteristic A related to Viral Replication Cycles,Characteristic B related to Viral Replication Cycles,Characteristic C related to Viral Replication Cycles,Correct characteristic of Viral Replication Cycles,D,This is the correct explanation for the characteristic of Viral Replication Cycles.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Physiology,Respiratory Mechanics and Gas Exchange,2,What is a key characteristic of Respiratory Mechanics and Gas Exchange?,Characteristic A related to Respiratory Mechanics and Gas Exchange,Characteristic B related to Respiratory Mechanics and Gas Exchange,Characteristic C related to Respiratory Mechanics and Gas Exchange,Correct characteristic of Respiratory Mechanics and Gas Exchange,D,This is the correct explanation for the characteristic of Respiratory Mechanics and Gas Exchange.,EASY,Gray's Anatomy
Surgery,Postoperative Care Protocols,1,What is a key characteristic of Postoperative Care Protocols?,Characteristic A related to Postoperative Care Protocols,Characteristic B related to Postoperative Care Protocols,Characteristic C related to Postoperative Care Protocols,Correct characteristic of Postoperative Care Protocols,D,This is the correct explanation for the characteristic of Postoperative Care Protocols.,MEDIUM,Gray's Anatomy
Surgery,Anesthesia Types and Risks,1,What is a key characteristic of Anesthesia Types and Risks?,Characteristic A related to Anesthesia Types and Risks,Characteristic B related to Anesthesia Types and Risks,Characteristic C related to Anesthesia Types and Risks,Correct characteristic of Anesthesia Types and Risks,D,This is the correct explanation for the characteristic of Anesthesia Types and Risks.,MEDIUM,Forensic Medicine: A Guide to Principles
Surgery,Surgical Techniques and Innovations,2,What is a key characteristic of Surgical Techniques and Innovations?,Characteristic A related to Surgical Techniques and Innovations,Characteristic B related to Surgical Techniques and Innovations,Characteristic C related to Surgical Techniques and Innovations,Correct characteristic of Surgical Techniques and Innovations,D,This is the correct explanation for the characteristic of Surgical Techniques and Innovations.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pharmacology,Anticoagulants and Bleeding Risks,1,What is a key characteristic of Anticoagulants and Bleeding Risks?,Characteristic A related to Anticoagulants and Bleeding Risks,Characteristic B related to Anticoagulants and Bleeding Risks,Characteristic C related to Anticoagulants and Bleeding Risks,Correct characteristic of Anticoagulants and Bleeding Risks,D,This is the correct explanation for the characteristic of Anticoagulants and Bleeding Risks.,HARD,Gray's Anatomy
Biochemistry,Carbohydrate Metabolism Disorders,1,What is a key characteristic of Carbohydrate Metabolism Disorders?,Characteristic A related to Carbohydrate Metabolism Disorders,Characteristic B related to Carbohydrate Metabolism Disorders,Characteristic C related to Carbohydrate Metabolism Disorders,Correct characteristic of Carbohydrate Metabolism Disorders,D,This is the correct explanation for the characteristic of Carbohydrate Metabolism Disorders.,HARD,Forensic Medicine: A Guide to Principles
Community Medicine,Disease Prevention Strategies,1,What is a key characteristic of Disease Prevention Strategies?,Characteristic A related to Disease Prevention Strategies,Characteristic B related to Disease Prevention Strategies,Characteristic C related to Disease Prevention Strategies,Correct characteristic of Disease Prevention Strategies,D,This is the correct explanation for the characteristic of Disease Prevention Strategies.,MEDIUM,Schwartz's Principles of Surgery
Biochemistry,Metabolic Pathways and Regulation,1,What is a key characteristic of Metabolic Pathways and Regulation?,Characteristic A related to Metabolic Pathways and Regulation,Characteristic B related to Metabolic Pathways and Regulation,Characteristic C related to Metabolic Pathways and Regulation,Correct characteristic of Metabolic Pathways and Regulation,D,This is the correct explanation for the characteristic of Metabolic Pathways and Regulation.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Microbiology,Parasitic Life Cycles,2,What is a key characteristic of Parasitic Life Cycles?,Characteristic A related to Parasitic Life Cycles,Characteristic B related to Parasitic Life Cycles,Characteristic C related to Parasitic Life Cycles,Correct characteristic of Parasitic Life Cycles,D,This is the correct explanation for the characteristic of Parasitic Life Cycles.,MEDIUM,Forensic Medicine: A Guide to Principles
Pathology,Autoimmune Disease Mechanisms,2,What is a key characteristic of Autoimmune Disease Mechanisms?,Characteristic A related to Autoimmune Disease Mechanisms,Characteristic B related to Autoimmune Disease Mechanisms,Characteristic C related to Autoimmune Disease Mechanisms,Correct characteristic of Autoimmune Disease Mechanisms,D,This is the correct explanation for the characteristic of Autoimmune Disease Mechanisms.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Forensic Medicine,Forensic Pathology Techniques,1,What is a key characteristic of Forensic Pathology Techniques?,Characteristic A related to Forensic Pathology Techniques,Characteristic B related to Forensic Pathology Techniques,Characteristic C related to Forensic Pathology Techniques,Correct characteristic of Forensic Pathology Techniques,D,This is the correct explanation for the characteristic of Forensic Pathology Techniques.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Microbiology,Antimicrobial Resistance Mechanisms,1,What is a key characteristic of Antimicrobial Resistance Mechanisms?,Characteristic A related to Antimicrobial Resistance Mechanisms,Characteristic B related to Antimicrobial Resistance Mechanisms,Characteristic C related to Antimicrobial Resistance Mechanisms,Correct characteristic of Antimicrobial Resistance Mechanisms,D,This is the correct explanation for the characteristic of Antimicrobial Resistance Mechanisms.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Public Health Policies,2,What is a key characteristic of Public Health Policies?,Characteristic A related to Public Health Policies,Characteristic B related to Public Health Policies,Characteristic C related to Public Health Policies,Correct characteristic of Public Health Policies,D,This is the correct explanation for the characteristic of Public Health Policies.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Microbiology,Fungal Infections and Treatment,1,What is a key characteristic of Fungal Infections and Treatment?,Characteristic A related to Fungal Infections and Treatment,Characteristic B related to Fungal Infections and Treatment,Characteristic C related to Fungal Infections and Treatment,Correct characteristic of Fungal Infections and Treatment,D,This is the correct explanation for the characteristic of Fungal Infections and Treatment.,EASY,Forensic Medicine: A Guide to Principles
Community Medicine,Health Education Programs,1,What is a key characteristic of Health Education Programs?,Characteristic A related to Health Education Programs,Characteristic B related to Health Education Programs,Characteristic C related to Health Education Programs,Correct characteristic of Health Education Programs,D,This is the correct explanation for the characteristic of Health Education Programs.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Fetal Distress and Monitoring,2,What is a key characteristic of Fetal Distress and Monitoring?,Characteristic A related to Fetal Distress and Monitoring,Characteristic B related to Fetal Distress and Monitoring,Characteristic C related to Fetal Distress and Monitoring,Correct characteristic of Fetal Distress and Monitoring,D,This is the correct explanation for the characteristic of Fetal Distress and Monitoring.,HARD,Gray's Anatomy
Anatomy,Pelvic Anatomy and Types,2,What is a key characteristic of Pelvic Anatomy and Types?,Characteristic A related to Pelvic Anatomy and Types,Characteristic B related to Pelvic Anatomy and Types,Characteristic C related to Pelvic Anatomy and Types,Correct characteristic of Pelvic Anatomy and Types,D,This is the correct explanation for the characteristic of Pelvic Anatomy and Types.,EASY,Lehninger Principles of Biochemistry
Pharmacology,Antihypertensive Drug Classes,1,What is a key characteristic of Antihypertensive Drug Classes?,Characteristic A related to Antihypertensive Drug Classes,Characteristic B related to Antihypertensive Drug Classes,Characteristic C related to Antihypertensive Drug Classes,Correct characteristic of Antihypertensive Drug Classes,D,This is the correct explanation for the characteristic of Antihypertensive Drug Classes.,HARD,Gray's Anatomy
Surgery,Surgical Site Infections,1,What is a key characteristic of Surgical Site Infections?,Characteristic A related to Surgical Site Infections,Characteristic B related to Surgical Site Infections,Characteristic C related to Surgical Site Infections,Correct characteristic of Surgical Site Infections,D,This is the correct explanation for the characteristic of Surgical Site Infections.,EASY,Park's Textbook of Preventive and Social Medicine
Pharmacology,Drug-Drug Interactions,1,What is a key characteristic of Drug-Drug Interactions?,Characteristic A related to Drug-Drug Interactions,Characteristic B related to Drug-Drug Interactions,Characteristic C related to Drug-Drug Interactions,Correct characteristic of Drug-Drug Interactions,D,This is the correct explanation for the characteristic of Drug-Drug Interactions.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pharmacology,Analgesics and Pain Management,1,What is a key characteristic of Analgesics and Pain Management?,Characteristic A related to Analgesics and Pain Management,Characteristic B related to Analgesics and Pain Management,Characteristic C related to Analgesics and Pain Management,Correct characteristic of Analgesics and Pain Management,D,This is the correct explanation for the characteristic of Analgesics and Pain Management.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Anatomy,Umbilical Cord Anatomy,2,What is a key characteristic of Umbilical Cord Anatomy?,Characteristic A related to Umbilical Cord Anatomy,Characteristic B related to Umbilical Cord Anatomy,Characteristic C related to Umbilical Cord Anatomy,Correct characteristic of Umbilical Cord Anatomy,D,This is the correct explanation for the characteristic of Umbilical Cord Anatomy.,EASY,Schwartz's Principles of Surgery
Anatomy,Placental Structure and Function,2,What is a key characteristic of Placental Structure and Function?,Characteristic A related to Placental Structure and Function,Characteristic B related to Placental Structure and Function,Characteristic C related to Placental Structure and Function,Correct characteristic of Placental Structure and Function,D,This is the correct explanation for the characteristic of Placental Structure and Function.,MEDIUM,Lehninger Principles of Biochemistry
Forensic Medicine,Legal Aspects of Medical Practice,1,What is a key characteristic of Legal Aspects of Medical Practice?,Characteristic A related to Legal Aspects of Medical Practice,Characteristic B related to Legal Aspects of Medical Practice,Characteristic C related to Legal Aspects of Medical Practice,Correct characteristic of Legal Aspects of Medical Practice,D,This is the correct explanation for the characteristic of Legal Aspects of Medical Practice.,MEDIUM,Forensic Medicine: A Guide to Principles
Forensic Medicine,Injury Patterns and Analysis,1,What is a key characteristic of Injury Patterns and Analysis?,Characteristic A related to Injury Patterns and Analysis,Characteristic B related to Injury Patterns and Analysis,Characteristic C related to Injury Patterns and Analysis,Correct characteristic of Injury Patterns and Analysis,D,This is the correct explanation for the characteristic of Injury Patterns and Analysis.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Acute and Chronic Inflammation,2,What is a key characteristic of Acute and Chronic Inflammation?,Characteristic A related to Acute and Chronic Inflammation,Characteristic B related to Acute and Chronic Inflammation,Characteristic C related to Acute and Chronic Inflammation,Correct characteristic of Acute and Chronic Inflammation,D,This is the correct explanation for the characteristic of Acute and Chronic Inflammation.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Obstetrics,Stages of Labor,2,What is a key characteristic of Stages of Labor?,Characteristic A related to Stages of Labor,Characteristic B related to Stages of Labor,Characteristic C related to Stages of Labor,Correct characteristic of Stages of Labor,D,This is the correct explanation for the characteristic of Stages of Labor.,EASY,Guyton and Hall Textbook of Medical Physiology
Obstetrics,Gestational Diabetes Mellitus,1,What is a key characteristic of Gestational Diabetes Mellitus?,Characteristic A related to Gestational Diabetes Mellitus,Characteristic B related to Gestational Diabetes Mellitus,Characteristic C related to Gestational Diabetes Mellitus,Correct characteristic of Gestational Diabetes Mellitus,D,This is the correct explanation for the characteristic of Gestational Diabetes Mellitus.,HARD,Guyton and Hall Textbook of Medical Physiology
